iso3,country_name,year,new_displacement,new_displacement_rounded,total_displacement,total_displacement_rounded
NGA,Nigeria,2009,5000,5000,,
NGA,Nigeria,2010,5000,5000,,
NGA,Nigeria,2011,65000,65000,,
NGA,Nigeria,2012,63000,63000,,
NGA,Nigeria,2013,470500,470000,3300000,3300000
NGA,Nigeria,2014,975300,975000,1075300,1075000
NGA,Nigeria,2015,736671,737000,2095812,2096000
NGA,Nigeria,2016,501160,501000,1954565,1955000
NGA,Nigeria,2017,279427,279000,1702095,1702000
NGA,Nigeria,2018,541464,541000,2242664,2243000
NGA,Nigeria,2019,247713,248000,2582615,2583000
NGA,Nigeria,2020,168556,169000,2730425,2730000
NGA,Nigeria,2021,375552,376000,3228380,3228000
NGA,Nigeria,2022,148348,148000,3645757,3646000
NGA,Nigeria,2023,290798,291000,3339951,3340000
NGA,Nigeria,2024,447339,447000,3472311,3472000
NGA,Nigeria,2025,353624,354000,3495705,3496000
