Date of analysis,Country,Total country population,Level 1,Area,Current from,Current to,Population analyzed current,Phase 3+ number current,Phase 3+ percentage current,Phase 1 number current,Phase 1 percentage current,Phase 2 number current,Phase 2 percentage current,Phase 3 number current,Phase 3 percentage current,Phase 4 number current,Phase 4 percentage current,Phase 5 number current,Phase 5 percentage current,First projection from,First projection to,Population analyzed first projection,Phase 3+ number first projection,Phase 3+ percentage first projection,Phase 1 number first projection,Phase 1 percentage first projection,Phase 2 number first projection,Phase 2 percentage first projection,Phase 3 number first projection,Phase 3 percentage first projection,Phase 4 number first projection,Phase 4 percentage first projection,Phase 5 number first projection,Phase 5 percentage first projection,Second projection from,Second projection to,Population analyzed second projection,Phase 3+ number second projection,Phase 3+ percentage second projection,Phase 1 number second projection,Phase 1 percentage second projection,Phase 2 number second projection,Phase 2 percentage second projection,Phase 3 number second projection,Phase 3 percentage second projection,Phase 4 number second projection,Phase 4 percentage second projection,Phase 5 number second projection,Phase 5 percentage second projection
Sep 2025,NGA,242431832,Federal Capital Territory,Abaji,2025-10-01,2025-12-31,741631,88996,0.12,341150,0.46,311485,0.42,88996,0.12,0,0,0,0,2026-06-01,2026-08-31,741631,103828,0.14,237322,0.32,400481,0.54,103828,0.14,0,0,0,0,,,,,,,,,,,,,,,
Sep 2025,NGA,242431832,Federal Capital Territory,Abuja municipal,2025-10-01,2025-12-31,2120972,190887,0.09,975647,0.46,954437,0.45,190887,0.09,0,0,0,0,2026-06-01,2026-08-31,2120972,254517,0.12,763550,0.36,1102905,0.52,254517,0.12,0,0,0,0,,,,,,,,,,,,,,,
Sep 2025,NGA,242431832,Federal Capital Territory,Bwari,2025-10-01,2025-12-31,1009711,131262,0.13,353399,0.35,525050,0.52,131262,0.13,0,0,0,0,2026-06-01,2026-08-31,1009711,151457,0.15,282719,0.28,575535,0.57,151457,0.15,0,0,0,0,,,,,,,,,,,,,,,
Sep 2025,NGA,242431832,Federal Capital Territory,Gwagwalada,2025-10-01,2025-12-31,1010726,141502,0.14,333540,0.33,535685,0.53,141502,0.14,0,0,0,0,2026-06-01,2026-08-31,1010726,161716,0.16,242574,0.24,606436,0.6,161716,0.16,0,0,0,0,,,,,,,,,,,,,,,
Sep 2025,NGA,242431832,Federal Capital Territory,Kuje,2025-10-01,2025-12-31,884139,106097,0.12,274083,0.31,503959,0.57,106097,0.12,0,0,0,0,2026-06-01,2026-08-31,884139,132621,0.15,212193,0.24,539325,0.61,132621,0.15,0,0,0,0,,,,,,,,,,,,,,,
Sep 2025,NGA,242431832,Federal Capital Territory,Kwali,2025-10-01,2025-12-31,746478,97042,0.13,231408,0.31,418028,0.56,97042,0.13,0,0,0,0,2026-06-01,2026-08-31,746478,119436,0.16,156760,0.21,470281,0.63,119436,0.16,0,0,0,0,,,,,,,,,,,,,,,
Sep 2025,NGA,242431832,Akwa Ibom,Abak,2025-10-01,2025-12-31,48087,0,0,0,0,0,0,0,0,0,0,0,0,2026-06-01,2026-08-31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep 2025,NGA,242431832,Akwa Ibom,Eastern obolo,2025-10-01,2025-12-31,48087,0,0,0,0,0,0,0,0,0,0,0,0,2026-06-01,2026-08-31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep 2025,NGA,242431832,Akwa Ibom,Eket,2025-10-01,2025-12-31,48087,0,0,0,0,0,0,0,0,0,0,0,0,2026-06-01,2026-08-31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep 2025,NGA,242431832,Akwa Ibom,Esit - eket,2025-10-01,2025-12-31,48087,0,0,0,0,0,0,0,0,0,0,0,0,2026-06-01,2026-08-31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep 2025,NGA,242431832,Akwa Ibom,Essien udim,2025-10-01,2025-12-31,48087,0,0,0,0,0,0,0,0,0,0,0,0,2026-06-01,2026-08-31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep 2025,NGA,242431832,Akwa Ibom,Etim ekpo,2025-10-01,2025-12-31,48087,0,0,0,0,0,0,0,0,0,0,0,0,2026-06-01,2026-08-31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep 2025,NGA,242431832,Akwa Ibom,Etinan,2025-10-01,2025-12-31,48087,0,0,0,0,0,0,0,0,0,0,0,0,2026-06-01,2026-08-31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep 2025,NGA,242431832,Akwa Ibom,Ibeno,2025-10-01,2025-12-31,48087,0,0,0,0,0,0,0,0,0,0,0,0,2026-06-01,2026-08-31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep 2025,NGA,242431832,Akwa Ibom,Ibesikpo asutan,2025-10-01,2025-12-31,48087,0,0,0,0,0,0,0,0,0,0,0,0,2026-06-01,2026-08-31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep 2025,NGA,242431832,Akwa Ibom,Ibiono ibom,2025-10-01,2025-12-31,48087,0,0,0,0,0,0,0,0,0,0,0,0,2026-06-01,2026-08-31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep 2025,NGA,242431832,Akwa Ibom,Ika,2025-10-01,2025-12-31,48087,0,0,0,0,0,0,0,0,0,0,0,0,2026-06-01,2026-08-31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep 2025,NGA,242431832,Akwa Ibom,Ikono,2025-10-01,2025-12-31,48087,0,0,0,0,0,0,0,0,0,0,0,0,2026-06-01,2026-08-31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep 2025,NGA,242431832,Akwa Ibom,Ikot abasi,2025-10-01,2025-12-31,48087,0,0,0,0,0,0,0,0,0,0,0,0,2026-06-01,2026-08-31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep 2025,NGA,242431832,Akwa Ibom,Ikot ekpene,2025-10-01,2025-12-31,48087,0,0,0,0,0,0,0,0,0,0,0,0,2026-06-01,2026-08-31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep 2025,NGA,242431832,Akwa Ibom,Ini,2025-10-01,2025-12-31,48087,0,0,0,0,0,0,0,0,0,0,0,0,2026-06-01,2026-08-31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep 2025,NGA,242431832,Akwa Ibom,Itu,2025-10-01,2025-12-31,48087,0,0,0,0,0,0,0,0,0,0,0,0,2026-06-01,2026-08-31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep 2025,NGA,242431832,Akwa Ibom,Mbo,2025-10-01,2025-12-31,48087,0,0,0,0,0,0,0,0,0,0,0,0,2026-06-01,2026-08-31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep 2025,NGA,242431832,Akwa Ibom,Mkpat enin,2025-10-01,2025-12-31,48087,0,0,0,0,0,0,0,0,0,0,0,0,2026-06-01,2026-08-31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep 2025,NGA,242431832,Akwa Ibom,Nsit atai,2025-10-01,2025-12-31,48087,0,0,0,0,0,0,0,0,0,0,0,0,2026-06-01,2026-08-31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep 2025,NGA,242431832,Akwa Ibom,Nsit ibom,2025-10-01,2025-12-31,48087,0,0,0,0,0,0,0,0,0,0,0,0,2026-06-01,2026-08-31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep 2025,NGA,242431832,Akwa Ibom,Nsit ubium,2025-10-01,2025-12-31,48087,0,0,0,0,0,0,0,0,0,0,0,0,2026-06-01,2026-08-31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep 2025,NGA,242431832,Akwa Ibom,Obot akara,2025-10-01,2025-12-31,48087,0,0,0,0,0,0,0,0,0,0,0,0,2026-06-01,2026-08-31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep 2025,NGA,242431832,Akwa Ibom,Okobo,2025-10-01,2025-12-31,48087,0,0,0,0,0,0,0,0,0,0,0,0,2026-06-01,2026-08-31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
